n	REAL(eigenstate[n])	IMAG(eigenstate[n])
986	0.000495	0.000619
987	0.000486	0.000600
988	0.000482	0.000577
989	0.000479	0.000558
990	0.000463	0.000535
991	0.000437	0.000514
992	0.000408	0.000497
993	0.000380	0.000470
994	0.000347	0.000433
995	0.000314	0.000397
996	0.000274	0.000345
997	0.000230	0.000290
998	0.000178	0.000229
999	0.000123	0.000160
1000	0.000067	0.000083
